Tip,State
Wuhan/HBCDC-HB-01/2019,1
Shanghai/SH0093/2020,1
Shanghai/SH0007/2020,1
Wuhan/WIV05/2019,1
Jian/JX129/2020,1
Wuhan/IPBCAMS-WH-03/2019,1
Wuhan/IVDC-HB-04/2020,1
Guangdong/20SF195/2020,1
Wuhan/WH01/2019,1
Guangzhou/GZMU0060/2020,1
Hangzhou/ZJU-07/2020,1
Wuhan/IVDC-HB-05/2019,1
Wuhan/IPBCAMS-WH-01/2019,1
Wuhan/WIV07/2019,1
Shanghai/SH0020/2020,1
Guangdong/GDFS2020127-P0026/2020,1
Shanghai/SH0104/2020,1
Guangdong/GDSZ202004-P0004/2020,1
Wuhan/WIV02/2019,1
USA/CA8/2020,3
Wuhan/HBCDC-HB-02/2019,1
Japan/AI-I-004/2020,1
Shangrao/JX1176/2020,1
Shangrao/JX1177/2020,1
Guangdong/2020XN4448-P0002/2020,1
Shanghai/SH0039/2020,1
Guangdong/GD2020139-P0007/2020,1
Guangzhou/GZMU0014/2020,1
Shanghai/SH0071/2020,1
Australia/NSW02/2020,4
Shanghai/SH0085/2020,1
Shanghai/SH0094/2020,1
Lishui/LS111/2020,1
Hangzhou/ZJU-06/2020,1
Lishui/LS556/2020,1
Guangdong/20SF243/2020,1
Japan/KY-V-029/2020,1
Australia/QLDID922/2020,4
Guangzhou/20SF206/2020,1
Shanghai/SH0051/2020,1
Guangdong/GD2020246-P0028/2020,1
China/IQTC01/2020,1
Shanghai/SH0068/2020,1
Australia/VIC15/2020,4
France/IDF0515/2020,2
Australia/VIC872/2020,4
Australia/VIC899/2020,4
Hangzhou/HZCDC0012/2020,1
Hangzhou/HZCDC0013/2020,1
HongKong/VB20026565/2020,1
Chongqing/IVDC-CQ-001/2020,1
USA/TX_2039/2020,3
Australia/NT01/2020,4
USA/UPHL-01/2020,3
USA/OR_2656/2020,3
Japan/Hu_DP_Kng_19-027/2020,1
Australia/NT05/2020,4
Japan/TK-20-31-3/2020,1
Japan/Hu_DP_Kng_19-020/2020,1
Singapore/3/2020,1
HongKong/VM20002849/2020,1
Singapore/3Clin/2020,1
Australia/NT02/2020,4
Japan/Hu_DP_Kng_19-031/2020,1
USA/TX_2020/2020,3
Australia/NT04/2020,4
Israel/ISR_JP0320/2020,1
India/nimh-0351/2020,1
SaudiArabia/KAIMRC-Alghoribi/2020,1
Canada/MB_2/2020,3
Brazil/SC-766/2020,5
Australia/NSW44/2020,4
Taiwan/NTU04/2020,1
Australia/NSW71/2020,4
Australia/NSW72/2020,4
India/nimh-0318/2020,1
India/nimh-0996/2020,1
India/nimh-1071/2020,1
USA/CA-CZB0145/2020,3
Australia/NSW68/2020,4
SouthAfrica/KRISP_0006/2020,0
Australia/QLDID921/2020,4
Taiwan/TSGH-11/2020,1
Gambia/GC19-026/2020,0
Canada/ON_PHL0141/2020,3
Canada/ON_PHL3459/2020,3
Malaysia/189332/2020,1
Australia/VIC819/2020,4
Malaysia/188407/2020,1
Singapore/56/2020,1
Singapore/61/2020,1
Singapore/58/2020,1
Singapore/70/2020,1
Singapore/71/2020,1
Singapore/57/2020,1
Singapore/66/2020,1
Australia/VIC314/2020,4
Pakistan/Gilgit1/2020,1
Shanghai/SH0081/2020,1
Shandong/IVDC-SD-001/2020,1
Georgia/Tb-1523/2020,1
Turkey/HSGM-5516/2020,2
Australia/WA10/2020,4
Netherlands/Gelderland_8/2020,2
Wuhan/HBCDC-HB-05/2020,1
Netherlands/ZuidHolland_16/2020,2
Shanghai/SH0080/2020,1
Shanghai/SH0126/2020,1
Xinyu/JX124/2020,1
Nanchang/JX155/2020,1
Nanchang/JX176/2020,1
India/1125/2020,1
Shanghai/SH0022/2020,1
Shanghai/SH0023/2020,1
Taiwan/CGMH-CGU-04/2020,1
Taiwan/CGMH-CGU-05/2020,1
Taiwan/CGMH-CGU-07/2020,1
Taiwan/CGMH-CGU-03/2020,1
Taiwan/CGMH-CGU-08/2020,1
Taiwan/CGMH-CGU-06/2020,1
USA/NY1-PV08001/2020,3
Canada/BC_37_0-2/2020,3
India/1111/2020,1
Germany/BavPat2/2020,2
England/200990002/2020,2
Canada/BC_5282984/2020,3
Taiwan/TSGH-13/2020,1
Taiwan/CGMH-CGU-10/2020,1
Taiwan/NTU11/2020,1
Taiwan/TSGH-02/2020,1
Taiwan/CGMH-CGU-11/2020,1
DRC/299/2020,0
India/1652/2020,1
Georgia/Tb-82/2020,1
Kuwait/KU09/2020,1
Australia/NSW09/2020,4
Canada/BC_65034/2020,3
Canada/BC_66353/2020,3
Canada/BC_25211/2020,3
Turkey/HSGM-4598/2020,2
Kuwait/KU12/2020,1
Kuwait/KU18/2020,1
India/1616/2020,1
Turkey/HSGM-8992/2020,2
Norway/1380/2020,2
Australia/VIC846/2020,4
Australia/NSW06/2020,4
Turkey/HSGM-11518/2020,2
Turkey/HSGM-8010/2020,2
Canada/BC_69243/2020,3
Canada/BC_02421/2020,3
Canada/BC_17397/2020,3
Canada/BC_13297/2020,3
Canada/ON_PHL5472/2020,3
Canada/ON_PHL7972/2020,3
Thailand/Bangkok-0039/2020,1
NewZealand/20VR0206/2020,4
Kuwait/KU17/2020,1
Australia/NSW05/2020,4
Australia/VIC878/2020,4
Australia/VIC879/2020,4
Australia/VIC262/2020,4
Australia/VIC406/2020,4
Australia/VIC894/2020,4
Australia/VIC854/2020,4
Canada/ON_PHL3318/2020,3
Germany/NRW-46/2020,2
NewZealand/01/2020,4
Turkey/ERAGEM-001/2020,2
Canada/ON_PHL3917/2020,3
Canada/BC_4143868/2020,3
Canada/BC_4143842/2020,3
England/200960041/2020,2
Australia/NSW34/2020,4
Australia/NSW33/2020,4
Australia/NSW26/2020,4
Australia/NSW66/2020,4
Australia/NSW23/2020,4
Australia/NSW15/2020,4
Australia/NSW07/2020,4
Australia/VIC813/2020,4
Australia/NSW21/2020,4
Australia/QLD09/2020,4
HongKong/HKPU48-0202/2020,1
Sweden/01/2020,2
HongKong/HKPU61-0202/2020,1
Shanghai/SH0098/2020,1
Shanghai/SH0037/2020,1
HongKong/HKPU54-0302/2020,1
HongKong/HKPU2_1801/2020,1
HongKong/HKPU53-0802/2020,1
HongKong/HKPU20_3001/2020,1
Australia/VIC01/2020,4
Taiwan/2/2020,1
Guangdong/20SF753/2020,1
Jian/JX169/2020,1
SouthKorea/KUMC02/2020,1
SouthKorea/KUMC01/2020,1
HongKong/VM20002493/2020,1
HongKong/VM20002582/2020,1
HongKong/VB20024950/2020,1
HongKong/HKPU19_0402/2020,1
HongKong/HKPU86-1802/2020,1
HongKong/HKPU34_3001/2020,1
HongKong/HKPU32_0402/2020,1
HongKong/HKPU41-0802/2020,1
canine/HongKong/20-02756/2020,1
HongKong/HKPU90-1602/2020,1
