Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
0	-2697.843	-2696.24	-1.603339	0.009430156	1.56449	1.56449	1.56449	1.56449	1.56449	1.56449	2.40483	2.40483	2.40483	2.40483	2.40483	2.40483	0.788293	1.21171	0.806576	1.23981	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.00943016	0.00943016	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.347986	0.3186963
1	-2416.039	-2415.174	-0.8647972	0.01273859	1.55752	1.55752	1.55752	1.55752	1.55752	1.55752	2.4118	2.4118	2.4118	2.4118	2.4118	2.4118	0.784781	1.21522	0.803613	1.24438	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.0127386	0.0127386	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.261836	0.2618361	0.3241517
2	-2309.842	-2309.243	-0.599085	0.02092326	1.47041	1.47041	1.47041	1.47041	1.47041	1.47041	2.2769	2.2769	2.2769	2.2769	2.2769	2.2769	0.784781	1.21522	0.803613	1.24438	1.87366	1.87366	1.87366	1.87366	1.87366	1.87366	1.873656	0.0209233	0.0209233	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.230591	0.2305914	0.3241517
3	-2163.842	-2163.602	-0.2405922	0.02327108	1.42989	1.42989	1.42989	1.42989	1.42989	1.42989	2.31742	2.31742	2.31742	2.31742	2.31742	2.31742	0.763154	1.23685	0.785504	1.27307	1.87366	1.87366	1.87366	1.87366	1.87366	1.87366	1.873656	0.0232711	0.0232711	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.182184	0.1821839	0.3579445
4	-2024.627	-2025.038	0.4113076	0.02464245	1.40149	1.40149	1.40149	1.40149	1.40149	1.40149	2.2714	2.2714	2.2714	2.2714	2.2714	2.2714	0.763154	1.23685	0.785504	1.27307	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.0246424	0.0246424	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.110816	0.1108159	0.3579445
5	-2010.736	-2010.962	0.2261849	0.04259709	1.24339	1.24339	1.24339	1.24339	1.24339	1.24339	2.4295	2.4295	2.4295	2.4295	2.4295	2.4295	0.677063	1.32294	0.715393	1.39783	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.0425971	0.0425971	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.0873428	0.08734278	0.4965572
6	-2007.86	-2008.094	0.2344251	0.04056134	1.27619	1.27619	1.27619	1.27619	1.27619	1.27619	2.3967	2.3967	2.3967	2.3967	2.3967	2.3967	0.694923	1.30508	0.72971	1.37041	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.0405613	0.0405613	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.0939818	0.09398176	0.4671798
7	-2005.971	-2006.059	0.08776581	0.04606899	1.27619	1.27619	1.27619	1.27619	1.27619	1.27619	2.3967	2.3967	2.3967	2.3967	2.3967	2.3967	0.694923	1.30508	0.72971	1.37041	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.046069	0.046069	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.1047213	0.4671798
8	-2003.864	-2003.911	0.04709726	0.05057433	1.27619	1.27619	1.27619	1.27619	1.27619	1.27619	2.3967	2.3967	2.3967	2.3967	2.3967	2.3967	0.694923	1.30508	0.72971	1.37041	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.0505743	0.0505743	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.1047213	0.4671798
9	-1994.226	-1994.053	-0.1735392	0.07501689	1.27619	1.27619	1.27619	1.27619	1.27619	1.27619	2.3967	2.3967	2.3967	2.3967	2.3967	2.3967	0.694923	1.30508	0.72971	1.37041	1.83645	1.83645	1.83645	1.83645	1.83645	1.83645	1.836447	0.0750169	0.0750169	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.104721	0.1047213	0.4671798
