Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
0	-2413.526	-2432.958	19.43256	0.1149465	1.04119	1.04119	1.04119	1.04119	1.04119	1.04119	2.92813	2.92813	2.92813	2.92813	2.92813	2.92813	0.524618	1.47538	0.596306	1.67699	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.114946	0.114946	0.0116789	0.239321	0.110976	0.0324232	0.0529807	0.0335394	0.561201	0.0781717	0.0615329	0.0814197	0.028601	0.00407797	0.0113076	0.550065	0.113034	0.105234	0.120027	0.0908219	0.0553133	0.218675	0.010603	0.0987066	0.0296476	0.213781	0.239942	0.0137439	0.00404484	0.0278628	0.0491964	0.117062	0.7665069
1	-2212.82	-2235.021	22.20104	0.1500535	0.662564	1.62722	1.04119	1.01526	0.356546	0.771369	1.86333	4.57622	2.92813	2.85521	1.00271	2.16932	0.524618	1.47538	0.596306	1.67699	1.26295	3.10172	1.98466	1.93523	0.67963	1.47034	0.150054	0.150054	0.0109295	0.371661	0.122399	0.0233887	0.0615507	0.0335394	0.457872	0.0900181	0.0738342	0.0798914	0.0294685	0.00517687	0.0125399	0.51372	0.0537021	0.105234	0.0895009	0.101074	0.0580499	0.128549	0.00829502	0.0987066	0.026104	0.225401	0.15681	0.0154022	0.00439758	0.0303501	0.0638704	0.127103	0.7665069
2	-2084.929	-2108.93	24.00134	0.1962299	0.619421	1.46079	1.10542	0.888463	0.255572	0.587011	1.60478	3.78456	2.8639	2.3018	0.662128	1.52081	0.556983	1.44302	0.621277	1.60959	1.1121	2.62267	1.98466	1.59513	0.45885	1.05391	0.19623	0.19623	0.0134102	0.371661	0.0772228	0.0233887	0.0833967	0.0367228	0.42263	0.0980541	0.0746703	0.0498698	0.0331533	0.00794189	0.0146703	0.382068	0.058926	0.0940346	0.0781545	0.125584	0.0619397	0.128549	0.00874074	0.142279	0.0192757	0.225401	0.189301	0.0145533	0.00452835	0.0388474	0.0775499	0.122312	0.705686
3	-1975.802	-1999.733	23.93013	0.2634825	0.417146	1.36824	0.93995	0.888463	0.294664	0.487557	1.08073	3.54479	2.4352	2.3018	0.763407	1.26315	0.556983	1.44302	0.621277	1.60959	0.748938	2.45652	1.68757	1.59513	0.529035	0.875353	0.263483	0.263483	0.0121929	0.385694	0.10702	0.0233887	0.103557	0.030084	0.311327	0.0980541	0.0877074	0.0394937	0.0489942	0.0105416	0.0147918	0.335897	0.0494763	0.0821034	0.0763771	0.25197	0.0738085	0.121251	0.0126936	0.146963	0.0187956	0.225401	0.1707	0.0176891	0.00480058	0.0379842	0.0913256	0.103201	0.705686
4	-1851.213	-1871.589	20.37589	0.4514504	0.593889	0.903571	0.865692	0.843593	0.428704	0.574505	1.72155	2.61925	2.50945	2.44539	1.24272	1.66537	0.512981	1.48702	0.587344	1.70258	1.15772	1.76141	1.68757	1.64449	0.835711	1.11994	0.45145	0.45145	0.0124185	0.466692	0.144127	0.0368774	0.0684898	0.0364346	0.311327	0.107333	0.0538814	0.030117	0.0614568	0.0123487	0.0160575	0.319043	0.0602841	0.0693861	0.100897	0.25197	0.0685606	0.0957182	0.0142237	0.167912	0.0187956	0.225401	0.1707	0.012696	0.00666487	0.0379842	0.110352	0.102548	0.7889598
5	-1637.975	-1657.059	19.08383	0.5027759	0.205867	0.195454	0.282258	0.292425	0.105256	0.233287	2.10958	2.00287	2.89238	2.99656	1.07858	2.39056	0.177821	1.82218	0.312389	3.20114	1.15772	1.09916	1.58732	1.64449	0.59192	1.31192	0.502776	0.502776	0.0151537	0.318366	0.167637	0.0612371	0.095836	0.0238213	0.280827	0.107333	0.0564274	0.0253365	0.0725862	0.0123487	0.0230743	0.218659	0.0540585	0.0508002	0.0940341	0.25197	0.0685606	0.0484968	0.0142237	0.218534	0.0206087	0.316096	0.162257	0.0178706	0.00642442	0.0306688	0.227649	0.12556	1.725018
6	-1560.971	-1576.766	15.79506	0.5696552	0.02081	0.0324284	0.0468303	0.0485172	0.0142333	0.0291537	1.3899	2.1659	3.1278	3.24047	0.950641	1.94718	0.0295028	1.9705	0.122361	8.17252	0.705356	1.09916	1.58732	1.64449	0.482437	0.988166	0.569655	0.569655	0.0112725	0.446045	0.139276	0.0758194	0.0981984	0.0265093	0.186302	0.11893	0.0648999	0.0214461	0.0676332	0.0151026	0.0262121	0.218659	0.0566975	0.0510174	0.0820092	0.25197	0.0685606	0.0483398	0.0157899	0.234766	0.0319717	0.452315	0.162257	0.0211027	0.00437911	0.0306688	0.227649	0.07614	3.114617
7	-1473.716	-1479.964	6.248856	0.7163933	0.00262171	0.00271439	0.0039199	0.00370535	0.00109751	0.00304875	2.12065	2.19561	3.17071	2.99717	0.887748	2.46606	0.00246951	1.99753	0.0351608	28.4408	1.06163	1.09916	1.58732	1.50044	0.444423	1.23456	0.716393	0.716393	0.0108451	0.628476	0.164531	0.0651221	0.0951306	0.0208107	0.217404	0.11893	0.0640221	0.0214461	0.0588531	0.0159165	0.0346151	0.179677	0.0566975	0.0226392	0.0799987	0.303452	0.0685606	0.040082	0.0209827	0.366495	0.0327751	0.572134	0.156685	0.0309604	0.00509198	0.0325545	0.275119	0.0848768	4.963491
8	-1324.711	-1317.879	-6.831965	2.149598	0.00266887	0.00351645	0.0039199	0.00484668	0.00229459	0.00304875	2.15879	2.84438	3.17071	3.92036	1.85604	2.46606	0.00246951	1.99753	0.0351608	28.4408	1.08073	1.42395	1.58732	1.96261	0.929169	1.23456	2.1496	2.1496	0.00993148	0.39861	0.173098	0.062009	0.110998	0.0202003	0.198398	0.11893	0.0640221	0.0214461	0.044007	0.0187616	0.0346151	0.178047	0.0633873	0.0251558	0.068374	0.311631	0.11225	0.0417658	0.0158436	0.371462	0.0339376	0.600717	0.157109	0.0290617	0.00732551	0.0247496	0.303878	0.0989758	4.963491
9	-1293.093	-1284.449	-8.644474	2.307663	0.00797839	0.00901015	0.0109248	0.0124186	0.00403122	0.00882822	2.5138	2.83889	3.44215	3.91279	1.27014	2.78156	0.00632758	1.99367	0.0563368	17.7504	1.26089	1.42395	1.72654	1.96261	0.637086	1.3952	2.30766	2.30766	0.00846546	0.373276	0.135836	0.0653094	0.125911	0.0187896	0.263114	0.11893	0.0956375	0.0239227	0.0537253	0.0217757	0.0442539	0.199803	0.0632715	0.0253387	0.0594113	0.316409	0.122383	0.0246632	0.0236296	0.343809	0.0339376	0.700155	0.173759	0.0387005	0.0075348	0.0349703	0.269896	0.107903	4.264568
