Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
0	-2342.415	-2371.273	28.85842	0.09061496	1.61269	1.61269	1.61269	1.61269	1.61269	1.61269	2.35663	2.35663	2.35663	2.35663	2.35663	2.35663	0.812576	1.18742	0.827235	1.20885	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.090615	0.090615	0.0500331	0.0368283	0.0670375	0.0242594	0.0333188	0.186442	0.164336	0.0488723	0.573129	0.224977	0.0328015	0.0163222	0.0389204	0.00501281	0.432566	0.0350236	0.0317866	0.245585	0.0307777	0.0731884	0.144279	0.403524	0.0292595	0.0888784	0.118591	0.031491	0.331163	0.376796	0.0896232	0.00290934	0.2811994
1	-2231.962	-2256.789	24.82687	0.1091275	1.61269	1.61269	1.61269	1.61269	1.61269	1.61269	2.35663	2.35663	2.35663	2.35663	2.35663	2.35663	0.812576	1.18742	0.827235	1.20885	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.109128	0.109128	0.0556405	0.0483664	0.0886109	0.0227247	0.0374666	0.186442	0.16168	0.0488723	0.573129	0.224977	0.0410588	0.0185628	0.047445	0.00501281	0.338164	0.0287739	0.0306634	0.290924	0.0370626	0.0562193	0.137287	0.482804	0.0509262	0.0847003	0.146135	0.032006	0.651492	0.371782	0.0945368	0.00237747	0.2811994
2	-2094.512	-2117.434	22.92253	0.1553369	1.46328	1.46328	1.46328	1.46328	1.46328	1.46328	2.50604	2.50604	2.50604	2.50604	2.50604	2.50604	0.737294	1.26271	0.764133	1.30867	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.155337	0.155337	0.0751739	0.0509416	0.157878	0.0243233	0.0335678	0.186442	0.155784	0.0623973	0.451023	0.155735	0.0420429	0.0207959	0.0651544	0.00630188	0.263408	0.0289742	0.0306634	0.333777	0.0422431	0.0525257	0.118848	0.496507	0.0509262	0.146911	0.167392	0.0255085	0.700006	0.474158	0.117123	0.00197978	0.398839
3	-1999.042	-2018.601	19.55872	0.2060773	1.26893	1.26893	1.26893	1.26893	1.26893	1.26893	2.70039	2.70039	2.70039	2.70039	2.70039	2.70039	0.639368	1.36063	0.685496	1.4588	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.206077	0.206077	0.083505	0.0480884	0.171883	0.0290204	0.0301609	0.14109	0.153807	0.0613584	0.309871	0.12148	0.0488233	0.0258809	0.0813365	0.00798214	0.263408	0.0382065	0.0306634	0.316291	0.0412628	0.0548541	0.119982	0.560246	0.0625585	0.146911	0.148865	0.021676	0.8993	0.673232	0.136213	0.00223304	0.5598491
4	-1908.326	-1926.714	18.38787	0.2295331	1.1607	1.1607	1.1607	1.1607	1.1607	1.1607	2.47007	2.47007	2.47007	2.47007	2.47007	2.47007	0.639368	1.36063	0.685496	1.4588	1.81539	1.81539	1.81539	1.81539	1.81539	1.81539	1.815386	0.229533	0.229533	0.083505	0.0549093	0.173037	0.0314813	0.0501031	0.0815739	0.142549	0.0613584	0.312555	0.100995	0.0572179	0.0429365	0.0824288	0.00983739	0.180066	0.0312705	0.0459175	0.380679	0.044514	0.042162	0.127846	0.442606	0.101083	0.163535	0.148865	0.0244798	1.07039	0.682965	0.174233	0.00122162	0.5598491
5	-1782.175	-1797.766	15.59123	0.2523377	0.659242	0.659242	0.659242	0.659242	0.659242	0.659242	2.58078	2.58078	2.58078	2.58078	2.58078	2.58078	0.406937	1.59306	0.505414	1.97858	1.62001	1.62001	1.62001	1.62001	1.62001	1.62001	1.62001	0.252338	0.252338	0.0700153	0.0388134	0.141872	0.0272793	0.0402975	0.0633866	0.162137	0.0570611	0.27778	0.0906371	0.0714119	0.0429365	0.124673	0.0153721	0.144053	0.0208888	0.0499623	0.380679	0.044514	0.03045	0.0874503	0.425104	0.121073	0.1908	0.149593	0.0154347	1.05695	1.04544	0.174233	0.000804201	1.011695
6	-1740.593	-1751.291	10.69808	0.2903078	0.659242	0.659242	0.659242	0.659242	0.659242	0.659242	2.58078	2.58078	2.58078	2.58078	2.58078	2.58078	0.406937	1.59306	0.505414	1.97858	1.62001	1.62001	1.62001	1.62001	1.62001	1.62001	1.62001	0.290308	0.290308	0.0753743	0.0401586	0.181183	0.036912	0.0406525	0.0545136	0.137808	0.0592498	0.237045	0.10496	0.0537669	0.0429365	0.124791	0.0159202	0.149382	0.0208888	0.0470227	0.337159	0.0665328	0.029092	0.0877231	0.416678	0.175012	0.293197	0.118661	0.0161955	0.962912	1.52253	0.216175	0.000778469	1.011695
7	-1644.055	-1654.388	10.33277	0.369581	0.247788	0.247788	0.247788	0.247788	0.247788	0.247788	2.99223	2.99223	2.99223	2.99223	2.99223	2.99223	0.152955	1.84705	0.287768	3.47502	1.62001	1.62001	1.62001	1.62001	1.62001	1.62001	1.62001	0.369581	0.369581	0.0746487	0.0250646	0.148633	0.036912	0.0269563	0.0569509	0.219256	0.0493757	0.198565	0.0840805	0.0778704	0.0507306	0.150918	0.0159202	0.109715	0.0176517	0.0567054	0.320839	0.0703014	0.0341311	0.0752791	0.270929	0.150691	0.282994	0.11149	0.0189029	1.05921	1.37311	0.300982	0.000804932	1.846729
8	-1596.449	-1613.918	17.46932	0.3739403	0.232137	0.232137	0.232137	0.232137	0.232137	0.232137	2.80323	2.80323	2.80323	2.80323	2.80323	2.80323	0.152955	1.84705	0.287768	3.47502	1.51768	1.51768	1.51768	1.51768	1.51768	1.51768	1.517684	0.37394	0.37394	0.0684494	0.0217286	0.152844	0.0498286	0.0367898	0.0473591	0.178977	0.0534246	0.181578	0.0663185	0.0643473	0.0507306	0.169204	0.0156712	0.107777	0.0167153	0.0612928	0.264326	0.0759199	0.0341311	0.11383	0.221888	0.120572	0.25972	0.0987118	0.0185095	0.868196	0.952327	0.30989	0.000824638	1.846729
9	-1418.782	-1432.098	13.31542	0.7282785	0.232137	0.232137	0.232137	0.232137	0.232137	0.232137	2.80323	2.80323	2.80323	2.80323	2.80323	2.80323	0.152955	1.84705	0.287768	3.47502	1.51768	1.51768	1.51768	1.51768	1.51768	1.51768	1.517684	0.728279	0.728279	0.0651823	0.0225099	0.136555	0.0796093	0.0369689	0.0442026	0.188115	0.0715822	0.173517	0.0525192	0.0682016	0.0682689	0.262178	0.0166472	0.0943152	0.0147026	0.0507639	0.239912	0.0759199	0.032092	0.107425	0.213678	0.224319	0.226179	0.119506	0.0231753	0.949258	0.856852	0.272798	0.000765591	1.846729
