Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	lambda_obscomm	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
0	-2003.933	-2011.274	7.340833	0.06068226	1.39931	1.39931	1.39931	1.39931	1.39931	1.39931	2.57001	2.57001	2.57001	2.57001	2.57001	2.57001	0.705062	1.29494	0.737886	1.35522	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.0606823	0.0606823	0.0598933	0.135717	0.00503048	0.332093	0.287602	0.0598933	0.184882	0.021195	0.405248	0.216784	0.135717	0.184882	0.285525	0.122844	0.10308	0.00503048	0.021195	0.285525	0.213675	0.0732672	0.332093	0.405248	0.122844	0.213675	0.246648	0.287602	0.216784	0.10308	0.0732672	0.246648	0.4506614
1	-1936.07	-1947.313	11.24327	0.07643104	1.26166	1.26166	1.26166	1.26166	1.26166	1.26166	2.43903	2.43903	2.43903	2.43903	2.43903	2.43903	0.681852	1.31815	0.719222	1.39039	1.85035	1.85035	1.85035	1.85035	1.85035	1.85035	1.850349	0.076431	0.076431	0.0463386	0.111702	0.0052563	0.227808	0.287602	0.0463386	0.184882	0.021195	0.329122	0.186342	0.111702	0.184882	0.285525	0.122844	0.0724624	0.0052563	0.021195	0.285525	0.146936	0.0732672	0.227808	0.329122	0.122844	0.146936	0.144764	0.287602	0.186342	0.0724624	0.0732672	0.144764	0.4886443
2	-1875.158	-1888.707	13.54965	0.1059446	1.26166	1.26166	1.26166	1.26166	1.26166	1.26166	2.43903	2.43903	2.43903	2.43903	2.43903	2.43903	0.681852	1.31815	0.719222	1.39039	1.85035	1.85035	1.85035	1.85035	1.85035	1.85035	1.850349	0.105945	0.105945	0.0463386	0.111702	0.00670884	0.167926	0.293333	0.0463386	0.125692	0.0305871	0.177291	0.155683	0.111702	0.125692	0.285525	0.101766	0.0684887	0.00670884	0.0305871	0.285525	0.144545	0.0702499	0.167926	0.177291	0.101766	0.144545	0.175191	0.293333	0.155683	0.0684887	0.0702499	0.175191	0.4886443
3	-1824.724	-1838.156	13.43146	0.2117975	1.08049	1.08049	1.08049	1.08049	1.08049	1.08049	2.62021	2.62021	2.62021	2.62021	2.62021	2.62021	0.583938	1.41606	0.642159	1.55725	1.85035	1.85035	1.85035	1.85035	1.85035	1.85035	1.850349	0.211798	0.211798	0.0362352	0.111702	0.00757178	0.204672	0.234564	0.0362352	0.130786	0.03838	0.087589	0.153652	0.111702	0.130786	0.322945	0.0889488	0.0585312	0.00757178	0.03838	0.322945	0.128786	0.0702499	0.204672	0.087589	0.0889488	0.128786	0.162105	0.234564	0.153652	0.0585312	0.0702499	0.162105	0.6566741
4	-1770.461	-1783.919	13.45787	0.2667589	0.912769	0.912769	0.912769	0.912769	0.912769	0.912769	2.37338	2.37338	2.37338	2.37338	2.37338	2.37338	0.555524	1.44448	0.62015	1.61251	1.64308	1.64308	1.64308	1.64308	1.64308	1.64308	1.643076	0.266759	0.266759	0.0341351	0.0939961	0.00948778	0.204529	0.278955	0.0341351	0.0925796	0.0472467	0.0899461	0.153652	0.0939961	0.0925796	0.320695	0.0822868	0.0585312	0.00948778	0.0472467	0.320695	0.100789	0.0496615	0.204529	0.0899461	0.0822868	0.100789	0.165792	0.278955	0.153652	0.0585312	0.0496615	0.165792	0.7083793
5	-1646.764	-1659.559	12.79506	0.4075165	0.467759	0.467759	0.467759	0.467759	0.467759	0.467759	2.22949	2.22949	2.22949	2.22949	2.22949	2.22949	0.346841	1.65316	0.458045	2.18319	1.34863	1.34863	1.34863	1.34863	1.34863	1.34863	1.348627	0.407517	0.407517	0.0322304	0.0803873	0.00915217	0.186162	0.277538	0.0322304	0.110682	0.0472467	0.100052	0.153652	0.0803873	0.110682	0.279684	0.0822868	0.0497464	0.00915217	0.0472467	0.279684	0.0927735	0.038835	0.186162	0.100052	0.0822868	0.0927735	0.112054	0.277538	0.153652	0.0497464	0.038835	0.112054	1.157598
6	-1620.102	-1632.801	12.69871	0.4075165	0.519054	0.519054	0.519054	0.519054	0.519054	0.519054	2.47398	2.47398	2.47398	2.47398	2.47398	2.47398	0.346841	1.65316	0.458045	2.18319	1.49652	1.49652	1.49652	1.49652	1.49652	1.49652	1.496517	0.407517	0.407517	0.0277583	0.0767656	0.00569487	0.192699	0.270142	0.0277583	0.128776	0.0472467	0.103694	0.112037	0.0767656	0.128776	0.295502	0.106138	0.056772	0.00569487	0.0472467	0.295502	0.117819	0.0334997	0.192699	0.103694	0.106138	0.117819	0.0770849	0.270142	0.112037	0.056772	0.0334997	0.0770849	1.157598
7	-1434.482	-1444.355	9.873053	0.7560713	0.248767	0.248767	0.248767	0.248767	0.248767	0.248767	2.74427	2.74427	2.74427	2.74427	2.74427	2.74427	0.166231	1.83377	0.301081	3.32137	1.49652	1.49652	1.49652	1.49652	1.49652	1.49652	1.496517	0.756071	0.756071	0.0218107	0.0789731	0.00834964	0.20075	0.140282	0.0218107	0.11144	0.0594112	0.12423	0.101102	0.0789731	0.11144	0.272582	0.0776511	0.0733907	0.00834964	0.0594112	0.272582	0.117819	0.0327242	0.20075	0.12423	0.0776511	0.117819	0.0787853	0.140282	0.101102	0.0733907	0.0327242	0.0787853	1.77968
8	-1339.954	-1344.398	4.443962	1.38846	0.254501	0.254501	0.254501	0.254501	0.254501	0.254501	2.80752	2.80752	2.80752	2.80752	2.80752	2.80752	0.166231	1.83377	0.301081	3.32137	1.53101	1.53101	1.53101	1.53101	1.53101	1.53101	1.531011	1.38846	1.38846	0.0217608	0.0789731	0.00806966	0.20075	0.170393	0.0217608	0.122397	0.0594112	0.104768	0.0828443	0.0789731	0.122397	0.272582	0.0776511	0.0670222	0.00806966	0.0594112	0.272582	0.104974	0.0231437	0.20075	0.104768	0.0776511	0.104974	0.0710925	0.170393	0.0828443	0.0670222	0.0231437	0.0710925	1.77968
9	-1336.972	-1338.348	1.375298	1.598642	0.254501	0.254501	0.254501	0.254501	0.254501	0.254501	2.80752	2.80752	2.80752	2.80752	2.80752	2.80752	0.166231	1.83377	0.301081	3.32137	1.53101	1.53101	1.53101	1.53101	1.53101	1.53101	1.531011	1.59864	1.59864	0.0249766	0.0677594	0.0102811	0.20075	0.254671	0.0249766	0.128944	0.0594112	0.144812	0.0828443	0.0677594	0.128944	0.289026	0.0783878	0.0665958	0.0102811	0.0594112	0.289026	0.0849559	0.0280997	0.20075	0.144812	0.0783878	0.0849559	0.0740882	0.254671	0.0828443	0.0665958	0.0280997	0.0740882	1.77968
