Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	q_obscomm	sig0
0	-2332.184	-2317.485	-14.6989	0.07194341	0.689894	0.689894	0.689894	0.689894	0.689894	0.689894	3.27943	3.27943	3.27943	3.27943	3.27943	3.27943	0.347613	1.65239	0.458661	2.18026	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.0719434	0.0719434	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.04758287	1.155604
1	-2132.679	-2119.673	-13.00557	0.09955737	0.442675	0.425986	0.552999	0.51563	0.623893	0.460659	2.10427	2.02493	2.6287	2.45106	2.96569	2.18975	0.347613	1.65239	0.458661	2.18026	1.27347	1.22546	1.59085	1.48335	1.79479	1.32521	0.0995574	0.0995574	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.0475829	0.04758287	1.155604
2	-2059.006	-2047.949	-11.0575	0.09827637	0.212623	0.364456	0.511531	0.485157	0.274986	0.353556	1.0382	1.77957	2.49772	2.36893	1.34271	1.72635	0.339973	1.66003	0.452548	2.20971	0.625412	1.07201	1.50462	1.42705	0.808847	1.03995	0.0982764	0.0982764	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.0485235	0.04852354	1.175499
3	-1950.204	-1938.299	-11.90482	0.1596025	0.150972	0.230293	0.323227	0.306561	0.173758	0.127402	1.25458	1.91374	2.68602	2.54753	1.44394	1.05872	0.214822	1.78518	0.346896	2.88271	0.702775	1.07201	1.50462	1.42705	0.808847	0.59306	0.159602	0.159602	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	0.0563503	1.569678
4	-1886.701	-1874.503	-12.19866	0.2035797	0.100858	0.2058	0.25987	0.23985	0.114178	0.104382	1.04521	2.13276	2.69309	2.48562	1.18325	1.08174	0.176006	1.82399	0.310636	3.2192	0.573034	1.16928	1.47648	1.36274	0.648714	0.59306	0.20358	0.20358	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.0588203	0.05882035	1.733358
5	-1778.689	-1763.931	-14.75841	0.2539814	0.0253587	0.0517444	0.0653392	0.0527948	0.026016	0.0380781	1.12071	2.28681	2.88762	2.33323	1.14976	1.68284	0.0442533	1.95575	0.150424	6.64788	0.573034	1.16928	1.47648	1.19301	0.587889	0.860457	0.253981	0.253981	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.0745326	0.07453263	2.808491
6	-1690.998	-1674.994	-16.0045	0.349439	0.0133338	0.0333709	0.0426869	0.0341349	0.016929	0.0196933	0.912743	2.28435	2.92206	2.33665	1.15885	1.34808	0.0287963	1.9712	0.120866	8.27365	0.463038	1.15886	1.48237	1.18539	0.587889	0.683884	0.349439	0.349439	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.1065318	3.132852
7	-1624.988	-1606.628	-18.36032	0.49356	0.00691495	0.0150652	0.0192709	0.0154101	0.00816954	0.00757786	1.05692	2.30265	2.94548	2.35537	1.24868	1.15824	0.013	1.987	0.080886	12.3631	0.531918	1.15886	1.48237	1.18539	0.628424	0.582911	0.49356	0.49356	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.106532	0.1065318	3.728321
8	-1559.313	-1537.211	-22.10213	0.7138449	0.00244654	0.00438166	0.00560487	0.00448197	0.00248985	0.00241375	1.29168	2.31334	2.95914	2.3663	1.31454	1.27436	0.00378101	1.99622	0.0435211	22.9774	0.647061	1.15886	1.48237	1.18539	0.658516	0.638389	0.713845	0.713845	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.0912712	0.09127119	4.647231
9	-1556.365	-1535.534	-20.83127	0.7138449	0.00561625	0.0106779	0.0136588	0.0125631	0.00452762	0.00517393	1.21343	2.30704	2.95109	2.71434	0.978225	1.11786	0.00921417	1.99079	0.0680324	14.6989	0.609523	1.15886	1.48237	1.36345	0.491376	0.561519	0.713845	0.713845	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.1126118	3.984896
10	-1485.665	-1460.242	-25.42331	1.056189	0.00738022	0.0136205	0.0136588	0.0125631	0.00594676	0.0105512	1.59455	2.9428	2.95109	2.71434	1.28484	2.27967	0.00921417	1.99079	0.0680324	14.6989	0.800965	1.47821	1.48237	1.36345	0.645393	1.14511	1.05619	1.05619	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.112612	0.1126118	3.984896
11	-1465.616	-1441.193	-24.42275	1.117113	0.0131382	0.0220585	0.0258072	0.0223646	0.0105864	0.00938626	1.58879	2.66752	3.12085	2.70454	1.2802	1.13507	0.0164029	1.9836	0.0909356	10.9968	0.800965	1.34479	1.57333	1.36345	0.645393	0.572231	1.11711	1.11711	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	3.554692
12	-1440.014	-1411.997	-28.0175	1.33627	0.00296789	0.0054374	0.00653085	0.00551285	0.00260952	0.00211486	1.46508	2.68415	3.22392	2.72139	1.28818	1.04399	0.0040433	1.99596	0.0450083	22.2181	0.734026	1.34479	1.61523	1.36345	0.645393	0.523053	1.33627	1.33627	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	4.597414
13	-1401.486	-1367.043	-34.44334	1.92846	0.00303513	0.0054374	0.00745374	0.00551285	0.00260952	0.00533721	1.49827	2.68415	3.6795	2.72139	1.28818	2.63469	0.0040433	1.99596	0.0450083	22.2181	0.750655	1.34479	1.84348	1.36345	0.645393	1.32001	1.92846	1.92846	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	4.597414
14	-1391.207	-1351.526	-39.68093	2.119705	0.000364008	0.000578114	0.000695621	0.000596483	0.000243534	0.000498095	1.92897	3.06357	3.68626	3.16091	1.29054	2.63953	0.000377341	1.99962	0.013737	72.7959	0.964666	1.53207	1.84348	1.58075	0.645393	1.32001	2.11971	2.11971	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.102355	0.1023546	6.356893
