Iteration	Posterior	Likelihood	Prior	h	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda_hid[1]	lambda_hid[2]	lambda_hid_unorm[1]	lambda_hid_unorm[2]	lambda_obs[1]	lambda_obs[2]	lambda_obs[3]	lambda_obs[4]	lambda_obs[5]	lambda_obs[6]	q_hid[1]	q_hid[2]	q_obs[1]	q_obs[2]	q_obs[3]	q_obs[4]	q_obs[5]	q_obs[6]	q_obs[7]	q_obs[8]	q_obs[9]	q_obs[10]	q_obs[11]	q_obs[12]	q_obs[13]	q_obs[14]	q_obs[15]	q_obs[16]	q_obs[17]	q_obs[18]	q_obs[19]	q_obs[20]	q_obs[21]	q_obs[22]	q_obs[23]	q_obs[24]	q_obs[25]	q_obs[26]	q_obs[27]	q_obs[28]	q_obs[29]	q_obs[30]	sig0
0	-2660.442	-2665.366	4.923877	0.05151424	0.417276	0.417276	0.417276	0.417276	0.417276	0.417276	3.55204	3.55204	3.55204	3.55204	3.55204	3.55204	0.21025	1.78975	0.342746	2.91761	1.98466	1.98466	1.98466	1.98466	1.98466	1.98466	0.0515142	0.0515142	0.15441	0.0361049	0.0481041	0.0329939	0.0902003	0.15441	0.00467007	0.00183864	0.0735105	0.017266	0.0361049	0.00467007	0.153059	0.133369	0.0729001	0.0481041	0.00183864	0.153059	0.173783	0.218131	0.0329939	0.0735105	0.133369	0.173783	0.0151029	0.0902003	0.017266	0.0729001	0.218131	0.0151029	1.58752
1	-2136.573	-2145.636	9.062723	0.07959698	0.199251	0.322812	0.277497	0.284281	0.142424	0.252898	1.69612	2.74793	2.36219	2.41994	1.21238	2.15279	0.21025	1.78975	0.342746	2.91761	0.947684	1.53537	1.31984	1.35211	0.6774	1.20284	0.079597	0.079597	0.0837906	0.0359207	0.0249455	0.0328767	0.111213	0.0837906	0.00535605	0.00226969	0.0872551	0.0214259	0.0359207	0.00535605	0.153059	0.133369	0.0964809	0.0249455	0.00226969	0.153059	0.165349	0.145193	0.0328767	0.0872551	0.133369	0.165349	0.012938	0.111213	0.0214259	0.0964809	0.145193	0.012938	1.58752
2	-2015.76	-2025.194	9.433319	0.1025638	0.101713	0.24975	0.214691	0.157602	0.0749986	0.14879	1.14887	2.82099	2.42499	1.78016	0.847129	1.68062	0.162664	1.83734	0.297544	3.36084	0.625293	1.53537	1.31984	0.968882	0.461064	0.914707	0.102564	0.102564	0.0608907	0.0366141	0.030416	0.0224438	0.0867619	0.0608907	0.0061913	0.00292368	0.112972	0.020466	0.0366141	0.0061913	0.239645	0.17462	0.0933447	0.030416	0.00292368	0.239645	0.138873	0.124861	0.0224438	0.112972	0.17462	0.138873	0.0129675	0.0867619	0.020466	0.0933447	0.124861	0.0129675	1.797198
3	-1947.172	-1954.713	7.541635	0.1215271	0.0326707	0.0807398	0.0694059	0.0509501	0.0243622	0.0353716	1.20988	2.99	2.57028	1.88681	0.902194	1.3099	0.0525865	1.94741	0.164327	6.08544	0.621274	1.53537	1.31984	0.968882	0.463278	0.672636	0.121527	0.121527	0.0610634	0.0466505	0.030416	0.0254171	0.0785246	0.0610634	0.00969235	0.00321465	0.125181	0.029415	0.0466505	0.00969235	0.296938	0.163432	0.0872225	0.030416	0.00321465	0.296938	0.130345	0.124861	0.0254171	0.125181	0.163432	0.130345	0.0111776	0.0785246	0.029415	0.0872225	0.124861	0.0111776	2.67743
4	-1828.934	-1835.281	6.346709	0.2024722	0.0445102	0.0599252	0.0828364	0.0608093	0.0290764	0.0441227	1.37386	1.84967	2.55685	1.87695	0.897479	1.3619	0.0627623	1.93724	0.179994	5.55574	0.709187	0.954796	1.31984	0.968882	0.463278	0.703012	0.202472	0.202472	0.0569234	0.052086	0.0277076	0.0354948	0.0694171	0.0569234	0.00969235	0.00433706	0.239161	0.0191321	0.052086	0.00969235	0.345959	0.143151	0.0771795	0.0277076	0.00433706	0.345959	0.117172	0.124523	0.0354948	0.239161	0.143151	0.117172	0.0114687	0.0694171	0.0191321	0.0771795	0.124523	0.0114687	2.542413
5	-1685.98	-1685.962	-0.01757694	0.3971747	0.000903988	0.00174624	0.0021353	0.0015675	0.000749513	0.00100081	1.11662	2.15697	2.63755	1.9362	0.925806	1.23621	0.00161785	1.99838	0.0284531	35.1456	0.55876	1.07936	1.31984	0.968882	0.463278	0.618604	0.397175	0.397175	0.0443349	0.0611033	0.0258617	0.0402506	0.0800078	0.0443349	0.0113545	0.00775712	0.282224	0.0177619	0.0611033	0.0113545	0.281301	0.180973	0.0761319	0.0258617	0.00775712	0.281301	0.129026	0.108732	0.0402506	0.282224	0.180973	0.129026	0.0104041	0.0800078	0.0177619	0.0761319	0.108732	0.0104041	5.27732
6	-1640.17	-1641.145	0.974629	0.3974198	0.0160605	0.0230262	0.0281565	0.025321	0.00871578	0.0215248	1.48962	2.13569	2.61153	2.34853	0.808392	1.99644	0.0213332	1.97867	0.103835	9.6307	0.752839	1.07936	1.31984	1.18693	0.408554	1.00898	0.39742	0.39742	0.0397809	0.0764463	0.0185323	0.0364855	0.0939597	0.0397809	0.0148832	0.0163697	0.436443	0.0165566	0.0764463	0.0148832	0.294943	0.142627	0.0805206	0.0185323	0.0163697	0.294943	0.129026	0.0991287	0.0364855	0.436443	0.142627	0.129026	0.0159495	0.0939597	0.0165566	0.0805206	0.0991287	0.0159495	3.358029
7	-1607.493	-1609.288	1.795259	0.4320857	0.011557	0.0269726	0.0329822	0.0296607	0.0102095	0.0241849	0.913396	2.13174	2.6067	2.34419	0.806898	1.91142	0.0249895	1.97501	0.112485	8.89009	0.462476	1.07936	1.31984	1.18693	0.408554	0.967804	0.432086	0.432086	0.0429536	0.0764463	0.0149342	0.0438731	0.0900934	0.0429536	0.0171871	0.0191591	0.350419	0.0177792	0.0764463	0.0171871	0.301128	0.142627	0.0863302	0.0149342	0.0191591	0.301128	0.178747	0.0713898	0.0438731	0.350419	0.142627	0.178747	0.0138777	0.0900934	0.0177792	0.0863302	0.0713898	0.0138777	3.239393
8	-1525.127	-1526.736	1.608267	0.5238748	0.0165023	0.0327625	0.0411962	0.0296607	0.00899257	0.0168726	1.30424	2.58934	3.25589	2.34419	0.710716	1.3335	0.0249895	1.97501	0.112485	8.89009	0.660371	1.31105	1.64854	1.18693	0.359854	0.675188	0.523875	0.523875	0.0500017	0.0698464	0.0136343	0.0322718	0.0734568	0.0500017	0.0258769	0.0210133	0.326742	0.0157605	0.0698464	0.0258769	0.276144	0.1322	0.0863302	0.0136343	0.0210133	0.276144	0.155894	0.0687117	0.0322718	0.326742	0.1322	0.155894	0.0162959	0.0734568	0.0157605	0.0863302	0.0687117	0.0162959	3.239393
9	-1437.836	-1438.087	0.2518799	0.7553233	0.0165023	0.0327625	0.0411962	0.0296607	0.00973219	0.0168726	1.30424	2.58934	3.25589	2.34419	0.769171	1.3335	0.0249895	1.97501	0.112485	8.89009	0.660371	1.31105	1.64854	1.18693	0.389451	0.675188	0.755323	0.755323	0.041272	0.0646192	0.0153489	0.0275069	0.0753194	0.041272	0.0258769	0.0271251	0.286726	0.0134979	0.0646192	0.0258769	0.302608	0.106593	0.0738074	0.0153489	0.0271251	0.302608	0.129057	0.0687117	0.0275069	0.286726	0.106593	0.129057	0.0161676	0.0753194	0.0134979	0.0738074	0.0687117	0.0161676	3.239393
