Strain;Country;Region
Wuhan/HBCDC-HB-01/2019;China;Asia
Shanghai/SH0093/2020;China;Asia
Shanghai/SH0007/2020;China;Asia
Wuhan/WIV05/2019;China;Asia
Jian/JX129/2020;China;Asia
Wuhan/IPBCAMS-WH-03/2019;China;Asia
Wuhan/IVDC-HB-04/2020;China;Asia
Guangdong/20SF195/2020;China;Asia
Wuhan/WH01/2019;China;Asia
Guangzhou/GZMU0060/2020;China;Asia
Hangzhou/ZJU-07/2020;China;Asia
Wuhan/IVDC-HB-05/2019;China;Asia
Wuhan/IPBCAMS-WH-01/2019;China;Asia
Wuhan/WIV07/2019;China;Asia
Shanghai/SH0020/2020;China;Asia
Guangdong/GDFS2020127-P0026/2020;China;Asia
Shanghai/SH0104/2020;China;Asia
Guangdong/GDSZ202004-P0004/2020;China;Asia
Wuhan/WIV02/2019;China;Asia
USA/CA8/2020;USA;North_America
Wuhan/HBCDC-HB-02/2019;China;Asia
Japan/AI-I-004/2020;Japan;Asia
Shangrao/JX1176/2020;China;Asia
Shangrao/JX1177/2020;China;Asia
Guangdong/2020XN4448-P0002/2020;China;Asia
Shanghai/SH0039/2020;China;Asia
Guangdong/GD2020139-P0007/2020;China;Asia
Guangzhou/GZMU0014/2020;China;Asia
Shanghai/SH0071/2020;China;Asia
Australia/NSW02/2020;Australia;Oceania
Shanghai/SH0085/2020;China;Asia
Shanghai/SH0094/2020;China;Asia
Lishui/LS111/2020;China;Asia
Hangzhou/ZJU-06/2020;China;Asia
Lishui/LS556/2020;China;Asia
Guangdong/20SF243/2020;China;Asia
Japan/KY-V-029/2020;Japan;Asia
Australia/QLDID922/2020;Australia;Oceania
Guangzhou/20SF206/2020;China;Asia
Shanghai/SH0051/2020;China;Asia
Guangdong/GD2020246-P0028/2020;China;Asia
China/IQTC01/2020;China;Asia
Shanghai/SH0068/2020;China;Asia
Australia/VIC15/2020;Australia;Oceania
France/IDF0515/2020;France;Europe
Australia/VIC872/2020;Australia;Oceania
Australia/VIC899/2020;Australia;Oceania
Hangzhou/HZCDC0012/2020;China;Asia
Hangzhou/HZCDC0013/2020;China;Asia
HongKong/VB20026565/2020;Hong_Kong;Asia
Chongqing/IVDC-CQ-001/2020;China;Asia
USA/TX_2039/2020;USA;North_America
Australia/NT01/2020;Australia;Oceania
USA/UPHL-01/2020;USA;North_America
USA/OR_2656/2020;USA;North_America
Japan/Hu_DP_Kng_19-027/2020;Japan;Asia
Australia/NT05/2020;Australia;Oceania
Japan/TK-20-31-3/2020;Japan;Asia
Japan/Hu_DP_Kng_19-020/2020;Japan;Asia
Singapore/3/2020;Singapore;Asia
HongKong/VM20002849/2020;Hong_Kong;Asia
Singapore/3Clin/2020;Singapore;Asia
Australia/NT02/2020;Australia;Oceania
Japan/Hu_DP_Kng_19-031/2020;Japan;Asia
USA/TX_2020/2020;USA;North_America
Australia/NT04/2020;Australia;Oceania
Israel/ISR_JP0320/2020;Israel;Asia
India/nimh-0351/2020;India;Asia
SaudiArabia/KAIMRC-Alghoribi/2020;Saudi_Arabia;Asia
Canada/MB_2/2020;Canada;North_America
Brazil/SC-766/2020;Brazil;South_America
Australia/NSW44/2020;Australia;Oceania
Taiwan/NTU04/2020;Taiwan;Asia
Australia/NSW71/2020;Australia;Oceania
Australia/NSW72/2020;Australia;Oceania
India/nimh-0318/2020;India;Asia
India/nimh-0996/2020;India;Asia
India/nimh-1071/2020;India;Asia
USA/CA-CZB0145/2020;USA;North_America
Australia/NSW68/2020;Australia;Oceania
SouthAfrica/KRISP_0006/2020;South_Africa;Africa
Australia/QLDID921/2020;Australia;Oceania
Taiwan/TSGH-11/2020;Taiwan;Asia
Gambia/GC19-026/2020;Gambia;Africa
Canada/ON_PHL0141/2020;Canada;North_America
Canada/ON_PHL3459/2020;Canada;North_America
Malaysia/189332/2020;Malaysia;Asia
Australia/VIC819/2020;Australia;Oceania
Malaysia/188407/2020;Malaysia;Asia
Singapore/56/2020;Singapore;Asia
Singapore/61/2020;Singapore;Asia
Singapore/58/2020;Singapore;Asia
Singapore/70/2020;Singapore;Asia
Singapore/71/2020;Singapore;Asia
Singapore/57/2020;Singapore;Asia
Singapore/66/2020;Singapore;Asia
Australia/VIC314/2020;Australia;Oceania
Pakistan/Gilgit1/2020;Pakistan;Asia
Shanghai/SH0081/2020;China;Asia
Shandong/IVDC-SD-001/2020;China;Asia
Georgia/Tb-1523/2020;Georgia;Asia
Turkey/HSGM-5516/2020;Turkey;Europe
Australia/WA10/2020;Australia;Oceania
Netherlands/Gelderland_8/2020;Netherlands;Europe
Wuhan/HBCDC-HB-05/2020;China;Asia
Netherlands/ZuidHolland_16/2020;Netherlands;Europe
Shanghai/SH0080/2020;China;Asia
